bin1 bin2 count p_value
6 3082 24 1.1102230246251565e-16
6 4506 5 7.681988378749338e-11
7 3082 13 1.1102230246251565e-16
8 3082 24 1.1102230246251565e-16
9 2381 5 7.681988378749338e-11
9 3082 38 1.1102230246251565e-16
9 3089 5 7.681988378749338e-11
9 3829 5 7.681988378749338e-11
9 4995 7 1.1102230246251565e-15
9 4996 30 1.1102230246251565e-16
10 3082 25 1.1102230246251565e-16
10 3829 5 7.681988378749338e-11
11 3082 25 1.1102230246251565e-16
12 2882 7 1.1102230246251565e-15
12 3082 23 1.1102230246251565e-16
13 3082 20 1.1102230246251565e-16
14 3082 21 1.1102230246251565e-16
15 3082 10 1.1102230246251565e-16
16 3082 16 1.1102230246251565e-16
17 3082 12 1.1102230246251565e-16
18 3082 11 1.1102230246251565e-16
19 2331 5 7.681988378749338e-11
19 3082 17 1.1102230246251565e-16
19 3234 11 1.1102230246251565e-16
19 4469 6 3.1386004906153175e-13
20 3082 11 1.1102230246251565e-16
21 3082 19 1.1102230246251565e-16
21 3130 5 7.681988378749338e-11
22 3082 15 1.1102230246251565e-16
23 3082 10 1.1102230246251565e-16
24 3082 11 1.1102230246251565e-16
25 3082 22 1.1102230246251565e-16
26 1203 6 3.1386004906153175e-13
26 3082 10 1.1102230246251565e-16
27 3082 15 1.1102230246251565e-16
27 4856 5 7.681988378749338e-11
28 778 5 7.681988378749338e-11
28 3082 15 1.1102230246251565e-16
29 1399 6 3.1386004906153175e-13
29 3082 10 1.1102230246251565e-16
30 3082 10 1.1102230246251565e-16
31 1399 6 3.1386004906153175e-13
31 2044 5 7.681988378749338e-11
31 3082 11 1.1102230246251565e-16
32 3082 13 1.1102230246251565e-16
33 1712 16 1.1102230246251565e-16
33 1713 7 1.1102230246251565e-15
33 3082 16 1.1102230246251565e-16
34 3082 19 1.1102230246251565e-16
34 4710 5 7.681988378749338e-11
35 2951 7 1.1102230246251565e-15
35 3082 10 1.1102230246251565e-16
36 3082 10 1.1102230246251565e-16
36 3574 5 7.681988378749338e-11
36 3671 8 1.1102230246251565e-16
37 3082 11 1.1102230246251565e-16
38 3082 8 1.1102230246251565e-16
40 3082 9 1.1102230246251565e-16
41 2823 8 1.1102230246251565e-16
41 3082 11 1.1102230246251565e-16
42 3082 13 1.1102230246251565e-16
43 2375 13 1.1102230246251565e-16
44 3082 8 1.1102230246251565e-16
45 2814 6 3.1386004906153175e-13
45 3082 8 1.1102230246251565e-16
46 3082 7 1.1102230246251565e-15
47 1886 6 3.1386004906153175e-13
47 3082 8 1.1102230246251565e-16
48 3074 7 1.1102230246251565e-15
48 3082 12 1.1102230246251565e-16
49 3082 5 7.681988378749338e-11
51 3082 9 1.1102230246251565e-16
53 3082 8 1.1102230246251565e-16
54 3082 7 1.1102230246251565e-15
55 3082 7 1.1102230246251565e-15
56 3082 10 1.1102230246251565e-16
57 3082 9 1.1102230246251565e-16
57 4974 6 3.1386004906153175e-13
58 3082 5 7.681988378749338e-11
